"feed_type_code","feed_type_name","feedtype_concentrate","fresh_yield","dm_fraction","dry_yield","harvest_index","residue_fresh_yield","residue_dm_content","residue_dry_yield","main_n","residue_n","c_factor","energy","water_content","usda_value","kc_initial","kc_midseason","kc_late","residue_n_dm","n_fixation","crop_coefficient","category","trees_ha","trees_dhb","trees_growth","trees_removal","energy_dm","trees_ha_dbh25","average_dbh25","increase_dbh25","trees_ha_dbh2550","average_dbh2550","increase_dbh2550","trees_ha_dbh50","average_dbh50","increase_dbh50","time_horizon","diameter_breast"
"1","Andropogon gayanus",0,0,0,8.88219178082192,0,0,0,0,0.0104,0,0,0,0,0,0.3,0.75,0.75,0.0104,0,0.6,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Avena sativa",0,0.4,0.88,0.352,0,3,0.88,2.64,0.0176,0,0,0,0,0,0.1,1.1,0.55,0,0,0.583333333333333,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Avena sativa-forage",0,35,0.26,9.1,0,0,0,0,0.016,0,0,0,0,0,0.1,1.1,0.55,0,0,0.583333333333333,"cereal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Beta vulgaris",0,55,0.19,10.45,0,2.75,0,2.75,0.0125,0,0,0,0,0,0.72,1.04,0.7,0.0125,0,0.82,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Brachiaria brizantha",0,0,0.26,15.6465753424658,0,0,0,0,0.0176,0,0,0,0,0,0.6,1.1,1.05,0.0176,0,0.916666666666667,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Brachiaria hybrid",0,0,0.26,13.7643835616438,0,0,0,0,0.0224,0,0,0,0,0,0.6,1.1,1.05,0.0224,0,0.916666666666667,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Canavalia brasiliensis",0,0,0,4,0,0,0,0,0.0352,0,0,0,0,0,0.15,1.1,0.25,0.0352,70.4,0.5,"legume",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Cassava",0,12.5,0.4032,5.04,0.5,12.5,0.4032,5.04,0.004,0,0.05,160,59.68,11134,0,0,0,0.003,0,0,"",0,0,0,0,396.825396825397,0,0,0,0,0,0,0,0,0,0,0
"9","Cowpea",0,0.95,0.899,0.85405,0.2199,3.37014552069122,0.8805,2.96741313096862,0.038,0,0.117,336,11.95,16062,0.15,1.05,0.6,0.023,50.3522010061392,0.6,"legume",0,0,0,0,381.60136286201,0,0,0,0,0,0,0,0,0,0,0
"10","Cratylia",0,0,0,12,0,0,0,0,0.0384,0,0,0,0,0,1.05,1.1,1.1,0.0384,230.4,1.08333333333333,"tree legume",400,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Cynodon nlemfuensis",0,0,0,10,0,0,0,0,0.02,0,0,0,0,0,0.3,0.75,0.75,0.02,0,0.6,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Dichanthium aristatum",0,0,0,10,0,0,0,0,0.0128,0,0,0,0,0,0.3,0.75,0.75,0,0,0.6,"grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Fodder maize",0,1.33,0.8,1.064,0.47,1.49978723404255,0.8963,1.34425929787234,0.017,0,0.05,365,10.37,20314,0.15,1.15,0.3,0.007,0,0.533333333333333,"cereal",0,0,0,0,407.229722191231,0,0,0,0,0,0,0,0,0,0,0
"14","Fustuca arundinacea",0,60,0.21,12.6,0,0,0,0,0.014,0,0,0,0,0,0.3,0.75,0.75,0,0,0.6,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
